Profile_Id,Profile_Name,Profile_Link,Designation,Interested_In,No_Of_Citations
1,Timothy Mason,https://scholar.google.co.uk/citations?hl=en&user=ywiPqccAAAAJ,"Emeritus Professor, Coventry University",sonochemistry ultrasound chemistry environment food technology ,25208
2,Gurnam Singh,https://scholar.google.co.uk/citations?hl=en&user=A93LzQMAAAAJ,"Principal Lecturer in Social Work, Coventry University",social work race and racism critical pedagogy neoliberalism higher education ,23015
3,WD Li,https://scholar.google.co.uk/citations?hl=en&user=hZY-wA4AAAAJ,"Professor of Manufacturing, Coventry University",,20330
4,Dr. Mohammad M Ali,https://scholar.google.co.uk/citations?hl=en&user=tI1RwOIAAAAJ,Coventry University,Forecast Information Sharing ARIMA Modelling Supply Chain Management Demand Planning and Forecasting ,15016
5,Petra Wark,https://scholar.google.co.uk/citations?hl=en&user=PdZZpBkAAAAJ,"Professor in Digital Health and Wellbeing, Coventry University",m/eHealth epidemiology primary prevention diet and lifestyle validation ,12134
6,Kevin Warwick,https://scholar.google.co.uk/citations?hl=en&user=TfTyMZQAAAAJ,"Emeritus Professor, Coventry University & University of Reading",Biomedical Engineering Machine Intelligence Bioethics Cybernetics Cyborgs ,11798
7,Sally Dibb,https://scholar.google.co.uk/citations?hl=en&user=GK_0st4AAAAJ,Coventry University,,9093
8,Moya Kneafsey,https://scholar.google.co.uk/citations?hl=en&user=LdhLhI0AAAAJ,"Reader in Human Geography, Coventry University",food geographies short food chains local foods community foods ,6587
9,Prof. John Allen,https://scholar.google.co.uk/citations?hl=en&user=-GsW3HsAAAAJ,Coventry University,photoplethysmography pulse capillaroscopy microvascular thermal imaging ,6552
10,andy turner,https://scholar.google.co.uk/citations?hl=en&user=rr94cyYAAAAJ,"Professor of Health Psychology, Coventry University. CEO HOPE 4 THE COMMUNITY CIC",Health psychology self-management ,6544
11,Vasile Palade,https://scholar.google.co.uk/citations?hl=en&user=KTXoxysAAAAJ,"Professor of Artificial Intelligence and Data Science, Coventry University",Machine Learning Data Science ,6304
12,Richard Aspinall,https://scholar.google.co.uk/citations?hl=en&user=UB66hN4AAAAJ,"Associate Dean (Research) Coventry University, Chief Scientist Rivock Ltd., CSO Hypo …",Age related changes in immunity use of technolgy to determine health status ,5912
13,Michel Pimbert,https://scholar.google.co.uk/citations?hl=en&user=vnyHhSoAAAAJ,"Director, Centre for Agroecology, Water and Resilience at Coventry University",Food sovereignty agroecology environment participatory democracy transdisciplinary research ,5767
14,Nick Henry,https://scholar.google.co.uk/citations?hl=en&user=RVGRUGgAAAAJ,"Co-Director, CBiS, Coventry University",,5539
15,Michael Duncan,https://scholar.google.co.uk/citations?hl=en&user=UnaJjYIAAAAJ,"Department of Applied Sciences and Health, Coventry University",Physical activity obesity exercise children sports science ,5412
16,Julia M Carroll,https://scholar.google.co.uk/citations?hl=en&user=UA1qV_sAAAAJ,Coventry University,literacy language acquisition ,5025
17,Michael E. Fitzpatrick,https://scholar.google.co.uk/citations?hl=en&user=S4mloT4AAAAJ,Coventry University,,4746
18,Don Harris,https://scholar.google.co.uk/citations?hl=en&user=3Jad6WgAAAAJ,"Professor of Human Factors, Coventry University",Human Factors Safety Aviation Automotive Defence ,4687
19,Professor Damian Lawler,https://scholar.google.co.uk/citations?hl=en&user=Vo-5UbAAAAAJ,Coventry University,River processes Hydrology Water Pollution Climate Change ,4423
20,Glauco De Vita,https://scholar.google.co.uk/citations?hl=en&user=BwAr0OMAAAAJ,"Centre for Business in Society (CBiS), Coventry University",Professor of International Business … ,4373
21,Prof Christopher A Reynolds,https://scholar.google.co.uk/citations?hl=en&user=8D92Hj0AAAAJ,University of Coventry,GPCRs class B GPCRs molecular modelling polarization drug design ,4326
22,YingLiang Ma,https://scholar.google.co.uk/citations?hl=en&user=bRhevv8AAAAJ,Coventry University,image processing medical imaging computer graphics ,4242
23,James Yang,https://scholar.google.co.uk/citations?hl=en&user=qAnwKk4AAAAJ,"Professor, Coventry University",computational mechanics fracture mechanics concrete structures composites scaled boundary finite element ,4147
24,Om P Kurmi,https://scholar.google.co.uk/citations?hl=en&user=n9DBSCAAAAAJ,"Associate Professor, Faculty of Health and Life Sciences, Coventry University",Population health Cardiorespiratory diseases Respiratory Epidemiology Environmental Epidemiology Occupational health ,3892
25,Richard Dashwood,https://scholar.google.co.uk/citations?hl=en&user=duXSiwIAAAAJ,"Coventry University, Imperial College London, University of Warwick,",,3865
26,Hilary Nesi,https://scholar.google.co.uk/citations?hl=en&user=nx161xMAAAAJ,"Professor of English Language, Coventry University",English for Academic Purposes Metalexicography Corpus Linguistics ,3852
27,Jean-Claude Morel,https://scholar.google.co.uk/citations?hl=en&user=f_90WcQAAAAJ,"Research Prof., Coventry university",,3773
28,Xiang Zhang,https://scholar.google.co.uk/citations?hl=en&user=hGaFAEEAAAAJ,Coventry University; Imperial College London; Cranfield University,Fatigue fracture composites metals welded additive manufactured ,3677
29,Dr. Rob S. James,https://scholar.google.co.uk/citations?hl=en&user=Ctk4Vp4AAAAJ,"Professor in Muscle Mechanics, Coventry University",effects of temperature body size caffeine variation between individuals or species on … ,3632
30,Dr Kuo-Ming Chao,https://scholar.google.co.uk/citations?hl=en&user=p4sIu1IAAAAJ,"Professor of Computing, Coventry University",Service-Oriented computing Agent Big Data ,3557
31,Katharina Dehnen-Schmutz,https://scholar.google.co.uk/citations?hl=en&user=66f90QQAAAAJ,"Associate Professor, Centre for Agroecology, Water and Resilience, Coventry University",biological invasions weed ecology and climate change interdisciplinary ecological-economic … ,3549
32,Megan Crawford,https://scholar.google.co.uk/citations?hl=en&user=MtI6X_IAAAAJ,"Research Centre Global Education, Coventry University",Leadership headteachers emotion policy access ,3415
33,Dobrila Petrovic,https://scholar.google.co.uk/citations?hl=en&user=PPS3x2AAAAAJ,"Professor of Optimisation and Control, Coventry University",treating uncertainty using fuzzy sets supply chains production scheduling ,3404
34,Ivan Kourtchev,https://scholar.google.co.uk/citations?hl=en&user=zUKHaUMAAAAJ,"Assistant Professor in Environmental Analytical Chemistry, Coventry University",Ultra-high resolution Mass Spectrometry Analytical chemistry pollution tracers Emerging pollutants Physical Chemistry ,3356
35,Marcelo Negri Soares,https://scholar.google.co.uk/citations?hl=en&user=QX5zRlIAAAAJ,"Professor PhD FBL Visiting Scholar, Faculty of Business & Law, Coventry (UK) …",Business & Law Business Law ,3309
36,Heaven Crawley,https://scholar.google.co.uk/citations?hl=en&user=azv5exkAAAAJ,"Professor of International Migration, Centre for Trust, Peace and Social Relations",International migration asylum and migration policy gender and international refugee law Refugee Status Determination separa ,3248
37,Jose Martin Herreros,https://scholar.google.co.uk/citations?hl=en&user=qOCb86IAAAAJ,Coventry University. Mobility and Transport Research Centre,Transportation Alternative Energy Carriers Advanced Propulsion Emissions ,3194
38,Charo I. del Genio,https://scholar.google.co.uk/citations?hl=en&user=735CZw4AAAAJ,Coventry University,Complex networks Complex systems Statistical Physics Computational Biology Dynamical Systems ,3141
39,Yilmaz Guney,https://scholar.google.co.uk/citations?hl=en&user=PVXz_gEAAAAJ,Coventry University-Centre for Financial and Corporate Integrity,Corporate finance corporate governance international business ,3085
40,Wendy Clyne,https://scholar.google.co.uk/citations?hl=en&user=9yzxd5gAAAAJ,"Senior Research Fellow, Coventry University",health and social psychology ,2977
41,Christopher J Mee,https://scholar.google.co.uk/citations?hl=en&user=F4Plhy4AAAAJ,Coventry University,Cell Polarity Tight Junctions liver HCV ,2963
42,Sylvester Arnab,https://scholar.google.co.uk/citations?hl=en&user=TS0e4WkAAAAJ,"Professor of Game Science (Applied Games), Disruptive Media Learning Lab, Coventry …",Serious Games Gamification Game Science disruptive learning Game-Based Learning ,2862
43,Ralph Kenna,https://scholar.google.co.uk/citations?hl=en&user=B_IufdEAAAAJ,Coventry University,Statistical Physics ,2660
44,Chitta Saha,https://scholar.google.co.uk/citations?hl=en&user=7hUuoogAAAAJ,Senior Lecturer at Coventry University,Energy harvesting Thermo-acoustic Electrical machine ,2654
45,Djordje Jakovljevic,https://scholar.google.co.uk/citations?hl=en&user=ifsD-rkAAAAJ,"Professor and Research Lead, Coventry University, UK",Cardiovascular Ageing Heart Failure Pathophysiology Exercise Clinical Research ,2570
46,Christian von Ferber,https://scholar.google.co.uk/citations?hl=en&user=cS_DE88AAAAJ,Coventry University,Complex Systems Soft Matter ,2502
47,Maureen Meadows,https://scholar.google.co.uk/citations?hl=en&user=dV8uHkYAAAAJ,"Professor of Strategic Management, Coventry University",strategy ,2451
48,Gemma Pearce,https://scholar.google.co.uk/citations?hl=en&user=wjcSPk0AAAAJ,Coventry University,,2427
49,Hazel Barrett,https://scholar.google.co.uk/citations?hl=en&user=Us5EoOAAAAAJ,Coventry University,Geography FGM Africa HIV/AIDS ,2417
50,Miguel Farias,https://scholar.google.co.uk/citations?hl=en&user=zVGKujoAAAAJ,"Brain, Belief, & Behaviour Lab, Coventry University",psychology of belief experimental psychology meditation spirituality religion ,2373
51,Andreas Walmsley,https://scholar.google.co.uk/citations?hl=en&user=Hmrca34AAAAJ,"International Centre for Transformational Entrepreneurship, Coventry University",Entrepreneurship Tourism ,2372
52,Jennifer Greaves,https://scholar.google.co.uk/citations?hl=en&user=HP4WbRUAAAAJ,Coventry University,,2280
53,Professor Jane Coad,https://scholar.google.co.uk/citations?hl=en&user=O4KYzo4AAAAJ,"Professor in Children and Family Nursing, Coventry University",Children and Family Nursing Complex and Palliative Care Involvement and Participation E-Learning Technologies ,2173
54,Prof. Ahmed A. El-Masry,https://scholar.google.co.uk/citations?hl=en&user=UoSj6_gAAAAJ,"Coventry University, UK",Corporate Finance Corporate Governance International Finance and Islamic Finance ,2160
55,Amanda Rodrigues Amorim Adegboye,https://scholar.google.co.uk/citations?hl=en&user=_0jc5ZsAAAAJ,"Coventry University, Associate Head of School for Research",Public Health Nutrition & Oral Health Health Inequalities Maternal and Child Nutrition Women's Health ,2078
56,Sebastien Farnaud,https://scholar.google.co.uk/citations?hl=en&user=Ut6OSSsAAAAJ,Coventry University,Biomedical Sciences Biotechnology Iron Nanoparticles ,2074
57,Mike Blundell,https://scholar.google.co.uk/citations?hl=en&user=_HnhZWAAAAAJ,"Professor of Vehicle Dynamics and Impact, Coventry University",,2060
58,Sheena Gardner,https://scholar.google.co.uk/citations?hl=en&user=6IqlMNsAAAAJ,"Professor of Applied Linguistics, Coventry University",Applied Linguistics Corpus Linguistics Systemic Functional Linguistics English for Academic Purposes ,2054
59,Ashish Shukla,https://scholar.google.co.uk/citations?hl=en&user=6JE2mQsAAAAJ,"Asst. Professor, Building Engineering Physics, Coventry University",Energy Efficiency Solar Engineering CFD Energy Management ,1963
60,Ramzy Abdel-Gayed,https://scholar.google.co.uk/citations?hl=en&user=q3SK64UAAAAJ,"Senior Lecturer, Coventry University",Turbulent Combustion Internal Combustion Engines ,1871
61,Julian K. Ayeh,https://scholar.google.co.uk/citations?hl=en&user=8ZGidbwAAAAJ,Coventry University - London Campus,e-Tourism Hospitality Management eWOM Digital Analytics Partial Least Squares ,1794
62,Benny Tjahjono,https://scholar.google.co.uk/citations?hl=en&user=iXz2meIAAAAJ,"Professor, Coventry University",Supply Chain Management Manufacturing Systems ,1771
63,Keith Popplewell,https://scholar.google.co.uk/citations?hl=en&user=rggwCYMAAAAJ,"Professor of Engineering Manufacture and Management, Coventry University",Intelligent ICT applications in manufacturing management and enterprise collaboration Intelligent knowledge oriented support f ,1758
64,Prof. Deborah Lycett RD PhD,https://scholar.google.co.uk/citations?hl=en&user=v1xmfb8AAAAJ,Coventry University,Nutrition and Dietetics Whole-person Healthcare Religion and health Spirituality and Health ,1755
65,David Parfitt,https://scholar.google.co.uk/citations?hl=en&user=DuFlMLAAAAAJ,Coventry University,,1740
66,Laura C. Roden,https://scholar.google.co.uk/citations?hl=en&user=ayowh7QAAAAJ,Coventry University,Chronobiology photoperiodism sleep plant sciences ,1738
67,James Adie,https://scholar.google.co.uk/citations?hl=en&user=fpOz7p8AAAAJ,Coventry University,motivation in sport ,1738
68,Helen Maddock,https://scholar.google.co.uk/citations?hl=en&user=4zH33ngAAAAJ,"Director of the Biomolecular Sciences ARG, Coventry University",Cardiovascular Pharmacology Toxicology Assay development Biomolecular Therapeutics ,1711
69,Matt Qvortrup,https://scholar.google.co.uk/citations?hl=en&user=ZslAN8gAAAAJ,Coventry University,Referendums Democracy Democratic Theory Comparative Politics European Politics ,1710
70,Dr. Nader Sohrabi safa,https://scholar.google.co.uk/citations?hl=en&user=kRkRkkcAAAAJ,University of Coventry,School of Computing Electronics and Mathematics ,1655
71,Sailesh Tanna,https://scholar.google.co.uk/citations?hl=en&user=GqtVr6UAAAAJ,Coventry University,International Economics Banking Corporate Finance ,1642
72,Rui Biscaia,https://scholar.google.co.uk/citations?hl=en&user=X0KvGCMAAAAJ,"Coventry University, Faculty of Business and Law",Sport Management Sport marketing Sport consumer behavior Sponsorship ,1625
73,Mark Tilzey,https://scholar.google.co.uk/citations?hl=en&user=gY5oERcAAAAJ,"Associate Professor in the Governance of Food Systems for Resilience, Coventry University",Political Ecology Political Economy Food Sovereignty Agroecology ,1621
74,Derek Renshaw,https://scholar.google.co.uk/citations?hl=en&user=VVcKUKoAAAAJ,"Professor ofTranslational Physiology, Coventry University",Endocrinology Inflammation nutrition ,1609
75,Matthew Blackett,https://scholar.google.co.uk/citations?hl=en&user=_a-nkHIAAAAJ,"Reader (Associate Professor), Coventry University",Remote sensing Natural hazards ,1573
76,Adi Weidenfeld,https://scholar.google.co.uk/citations?hl=en&user=ibfll_kAAAAJ,"Centre for Business in Society, Coventry University",Tourism cross border innovation visitor attractions regional diversification ,1565
77,Chongming Wang,https://scholar.google.co.uk/citations?hl=en&user=EQM6KvgAAAAJ,Coventry University,Battery safety Biofuel Spray Many-objectives optimization ,1561
78,Jeremy Bryans,https://scholar.google.co.uk/citations?hl=en&user=F_3g1N4AAAAJ,"Research Fellow, Coventry University, UK",Formal Methods Dynamic Coalitions Automotive Security ,1542
79,Andrew Johnston,https://scholar.google.co.uk/citations?hl=en&user=nhf1NAoAAAAJ,"Professor, International Centre for Transformational Entrepreneurship (ICTE), Coventry …",innovation university-industry linkages SMEs regional economic development entrepreneurship ,1541
80,marco van de wiel,https://scholar.google.co.uk/citations?hl=en&user=ySr_6j4AAAAJ,Coventry University,geomorphology modelling ,1519
81,James Brusey,https://scholar.google.co.uk/citations?hl=en&user=xBZJCjkAAAAJ,"Professor of Computer Science, Coventry University",Reinforcement Learning Pervasive Computing Internet of Things Smart Buildings ,1517
82,S Wang,https://scholar.google.co.uk/citations?hl=en&user=TNyb-JcAAAAJ,"SRA in Faculty of Engineering and Computing, Coventry University",,1433
83,Lynn Clouder,https://scholar.google.co.uk/citations?hl=en&user=WkCbX2gAAAAJ,"Professor of Professional Education, Coventry University ",health and social care education reflective practice practice based education interprofessional education ,1428
84,Md Mostafizur Rahman,https://scholar.google.co.uk/citations?hl=en&user=dcVpCY4AAAAJ,"Lecturer, School of Mechanical Aerospace and Automotive Engineering,Coventry University …",Alternative fuels Biofuels IC engines Engine emissions Air polution ,1421
85,Elena Gaura,https://scholar.google.co.uk/citations?hl=en&user=NILVLIAAAAAJ,"Professor of Pervasive Computing, Coventry University",Cyber physical systems energy systems IoT sensor networks ,1377
86,Michael S Dodd,https://scholar.google.co.uk/citations?hl=en&user=pnc0y7MAAAAJ,Coventry University,Cardiac Metabolism ,1376
87,Lorna O'Doherty,https://scholar.google.co.uk/citations?hl=en&user=DKK9fv4AAAAJ,Coventry University,Interventions for family violence Health psychology Randomized controlled trials ,1366
88,Neil Clarke,https://scholar.google.co.uk/citations?hl=en&user=HC-phqYAAAAJ,Coventry University,Football  Carbohydrate  Caffeine  Coffee ,1335
89,Sergei Molokov,https://scholar.google.co.uk/citations?hl=en&user=oBJAPCEAAAAJ,"Professor of Applied Mathematics, Coventry University, UK",magnetohydrodynamics liquid metal blankets and divertors aluminium reduction cells ,1333
90,Prof Gideon Maas,https://scholar.google.co.uk/citations?hl=en&user=Za65WhQAAAAJ,"International Centre for Transformational Entrepreneurship, Coventry University, UK.",Entrepreneurship family business innovation ,1308
91,Martin Jenkins,https://scholar.google.co.uk/citations?hl=en&user=r3GPcRsAAAAJ,"Head of Academic Development, Coventry University",Technology-enhanced learning Learning design Digital storytelling e-learning ,1304
92,Val Hopwood,https://scholar.google.co.uk/citations?hl=en&user=-vBIOCQAAAAJ,"Course Director MSc Acupuncture, Coventry University",Acupuncture training for Health Professionals ,1290
93,Hamid Taghavifar,https://scholar.google.co.uk/citations?hl=en&user=tCYbMgsAAAAJ,"Assistant Professor, School of Mechanical, Aerospace and Automotive Engineering …",Autonomous Vehicles Controls Mechatronics Terramechanics Robotics ,1277
94,Jānis Priede,https://scholar.google.co.uk/citations?hl=en&user=HxVon8YAAAAJ,"Reader in Applied Mathematics, Coventry University",Magnetohydrodybamics fluid mechanics ,1254
95,Dr Valerie Cox (Val),https://scholar.google.co.uk/citations?hl=en&user=NXVg6vgAAAAJ,"School of Life Sciences, Coventry University",Exercise Science muscle physiology ,1243
96,Michael Tovey,https://scholar.google.co.uk/citations?hl=en&user=XgSSMcMAAAAJ,"Professor of Industrial Design, Coventry University",Design industrial design automotive design design education design pedagogy ,1223
97,Dr Martin Selby,https://scholar.google.co.uk/citations?hl=en&user=1k68r3EAAAAJ,Coventry University,Tourist Experience International Student Experience  Cultural … Student Mobility Intercultural Competence Adjustment a ,1211
98,Farooq Sher,https://scholar.google.co.uk/citations?hl=en&user=mtaln-gAAAAJ,"Lecturer, Coventry University",Chemical Engineering Thermochemical Conversion Spectroscopy Nanomaterials Environmental Management ,1199
99,Deepa Joshi,https://scholar.google.co.uk/citations?hl=en&user=_Q_F5mMAAAAJ,"Senior Research Fellow, The Centre for Agroecology, Water and Resilience (CAWR) …",Water governance feminist political ecology and water conflicts ,1188
100,Simon Goodman,https://scholar.google.co.uk/citations?hl=en&user=I8QEF6wAAAAJ,Coventry University,Psychology Social Psychology Discursive Psychology Prejudice Asylum ,1176
101,Petar Igic,https://scholar.google.co.uk/citations?hl=en&user=EItUUMkAAAAJ,Coventry University,power electronics wide band-gap materials power devices ,1174
102,Martin Weigel,https://scholar.google.co.uk/citations?hl=en&user=VEkbdjcAAAAJ,Coventry University,statistical physics disordered systems Monte Carlo simulations sociophysics spin systems ,1160
103,Andrew Hunt,https://scholar.google.co.uk/citations?hl=en&user=CObu11QAAAAJ,Coventry University,flow measurement fluid mechanics process tomography process nowcasting ,1156
104,Kristin Aune,https://scholar.google.co.uk/citations?hl=en&user=FKeJ6dwAAAAJ,"Professor of Sociology of Religion, Centre for Trust, Peace & Social Relations, Coventry …",Religion and gender religion and higher education feminism ,1153
105,Thet Thet Lin,https://scholar.google.co.uk/citations?hl=en&user=tVfjXvoAAAAJ,"Assistant Lecturer, Coventry University",cancer biology ,1143
106,Hosam Al-Samarraie,https://scholar.google.co.uk/citations?hl=en&user=J7S_8R8AAAAJ,"School of Media and Performing Arts, Coventry University, UK",Human-computer-interaction Technology Utilisation e-learning Behavioural Modeling ,1138
107,Amy Elizabeth Harwood,https://scholar.google.co.uk/citations?hl=en&user=l-25A04AAAAJ,Coventry University,Clinical Exercise Physiology Human Physiology ,1138
108,Anne Reiman,https://scholar.google.co.uk/citations?hl=en&user=Y3PzhCcAAAAJ,Coventry university,cancer genomics translational cancer research ,1126
109,Alan Hunter,https://scholar.google.co.uk/citations?hl=en&user=JZiUAkoAAAAJ,"Professor of Asian Studies, Coventry University, UK",peace studies human security religion East Asia ,1120
110,Bahar Baser,https://scholar.google.co.uk/citations?hl=en&user=yCYVVCAAAAAJ,"Associate Professor, Coventry University / Stellenbosch University",peace and conflict studies diasporas and transnationalism ,1098
111,Rohit Bhagat,https://scholar.google.co.uk/citations?hl=en&user=ZrhXXvsAAAAJ,"Professor, Coventry University",Lithium Batteries Energy Storage Diagnostics Molten Salts ,1093
112,Stefanie Williams,https://scholar.google.co.uk/citations?hl=en&user=PjqUChAAAAAJ,Coventry University,Health Psychology Behaviour Change ,1085
113,Abay Mulatu,https://scholar.google.co.uk/citations?hl=en&user=5fpLxjwAAAAJ,Coventry University,Economics ,1079
114,Paul Greening,https://scholar.google.co.uk/citations?hl=en&user=ZMOYx5IAAAAJ,"Associate Dean (Student Experience), Coventry University",Dynamics Monitoring Optimisation ,1057
115,Graham Sadler,https://scholar.google.co.uk/citations?hl=en&user=FTqKS3kAAAAJ,Coventry University,Executive Compensation ,1050
116,Mahmoud Moradi,https://scholar.google.co.uk/citations?hl=en&user=ZZsLlTgAAAAJ,Coventry University,Laser Materials Processing Additive Manufacturing Welding Design of Experiments (DOE) ,1032
117,Andrew  Rigby,https://scholar.google.co.uk/citations?hl=en&user=CQQvglAAAAAJ,Coventry University Emeritus Professor,Peace Studies Civil resistance ,1018
118,Rachid Anane,https://scholar.google.co.uk/citations?hl=en&user=oOdwEoQAAAAJ,Coventry University,Distributed Systems Adaptive Systems Learning Technologies ,1004
119,Alexeis Garcia Perez,https://scholar.google.co.uk/citations?hl=en&user=YjqmC0oAAAAJ,"Professor of Management Information Systems, Coventry University",Management Information Systems Knowledge Management Cyber Security Management ,1000
120,Ambrose Cole,https://scholar.google.co.uk/citations?hl=en&user=DDNZUswAAAAJ,Coventry University,Learning Design ,999
121,Dr Kasim Randeree,https://scholar.google.co.uk/citations?hl=en&user=5McpbDIAAAAJ,Coventry University,,985
122,Stratis Kanarachos,https://scholar.google.co.uk/citations?hl=en&user=0FifX48AAAAJ,Professor - Coventry University,engineering dynamics system dynamics smart systems optimisation smart data ,977
123,Lorna Everall,https://scholar.google.co.uk/citations?hl=en&user=dFbVExIAAAAJ,Coventry University,Optical Fibre Bragg Gratings ,964
124,Matthew England,https://scholar.google.co.uk/citations?hl=en&user=MPTu37QAAAAJ,Coventry University,Symbolic Computation / Computer Algebra Cylindrical Algebraic Decomposition Integrable Systems & Mathematical Physics Abelian ,959
125,Michael Odetayo,https://scholar.google.co.uk/citations?hl=en&user=eZH1qf0AAAAJ,"School of Computing, Electronics and Mathematics, Coventry University, Coventry UK",csx190@coventry.ac.uk ,941
126,Elizabeth Bos,https://scholar.google.co.uk/citations?hl=en&user=ZmZtfkkAAAAJ,Coventry University,Human Geography Social Sciences Sociology ,937
127,Rosie Kneafsey,https://scholar.google.co.uk/citations?hl=en&user=tCB5RecAAAAJ,Coventry University,Nursing Health Compassion Rehabilitation Grounded Theory ,926
128,Ran Holtzman,https://scholar.google.co.uk/citations?hl=en&user=S8YnmCEAAAAJ,"Associate Professor, Coventry University",multiphase and reactive flows fluid mechanics in porous media complex systems geomechanics pore scale modeling ,925
129,Dr Yueping Fang,https://scholar.google.co.uk/citations?hl=en&user=j4tv8PoAAAAJ,Coventry University,building energy efficiency advanced glazing heat transfer nonimaging optics ,914
130,Damien Foster,https://scholar.google.co.uk/citations?hl=en&user=fDW6OWcAAAAJ,Coventry University,Statistical Physics Polymer Physics ,908
131,John Graves,https://scholar.google.co.uk/citations?hl=en&user=Dxou3GMAAAAJ,"Associate Professor, Coventry University",Electrochemistry Hydrogen Materials Nanotechnology ,903
132,Dr Morteza Khorami,https://scholar.google.co.uk/citations?hl=en&user=wKGzfw8AAAAJ,"Lecturer in civil engineering, Structural Design at Coventry University",concrete technology materials cement composite new technology in construction industrial construction ,897
133,Tony Lawrence,https://scholar.google.co.uk/citations?hl=en&user=fhIw-48AAAAJ,"Assistant Professor of Psychology, Coventry University",Psychology ,892
134,Chiara Tornaghi,https://scholar.google.co.uk/citations?hl=en&user=ChiC9KMAAAAJ,"Associate Professor, Centre for Agroecology, Water and Resilience, Coventry University, UK",Urban agriculture food sovereignty socio-environmental justice urban political agroecology agroecological urbanism ,878
135,Rebecca Johnson,https://scholar.google.co.uk/citations?hl=en&user=kqYuobAAAAAJ,"Assistant Professor, Coventry University",Public Health Knowledge Mobilisation Implementation Mixed Methods ,871
136,Nazaraf Shah,https://scholar.google.co.uk/citations?hl=en&user=vN3V6nEAAAAJ,Coventry University,Linked Data Service Oriented Computing Distributed Applications Web Application Security ,865
137,Robert Low,https://scholar.google.co.uk/citations?hl=en&user=-u8O8qMAAAAJ,"Mathematics, Coventry University",mathematics physics ,865
138,Alex Franklin,https://scholar.google.co.uk/citations?hl=en&user=FPPu73UAAAAJ,"Senior Research Fellow, Centre for Agroecology, Water and Resilience (CAWR), Coventry …",Sustainability shared practice community nature/society human/animal ,865
139,Yu-Hua Chen,https://scholar.google.co.uk/citations?hl=en&user=6nL-wwcAAAAJ,Coventry University,Corpus Linguistics Second Language Research Language Testing and Assessment English for Academic Purposes Vocabulary ,864
140,Anna Bogush,https://scholar.google.co.uk/citations?hl=en&user=MlWSor8AAAAJ,"Associate Professor, Coventry University, UK",geochemistry chemistry environmental engineering waste management ,857
141,Helen Liebling,https://scholar.google.co.uk/citations?hl=en&user=ScsHuoQAAAAJ,Assistant Professor in Clinical Psychology/Associate of Centre for Trust Peace and Social …,Survivors of Conflict and Post-Conflict Sexual … ,856
142,Melody Stokes,https://scholar.google.co.uk/citations?hl=en&user=gBq5IdsAAAAJ,coventry university,Renewable energy Knowledge Based Engineering ,850
143,Adrienne Evans,https://scholar.google.co.uk/citations?hl=en&user=2XMZYCMAAAAJ,Coventry University,,845
144,Alexander Roberts,https://scholar.google.co.uk/citations?hl=en&user=cfxGsQkAAAAJ,Coventry University,Energy storage electrochemistry batteries supercapacitors ,840
145,Scott deLahunta,https://scholar.google.co.uk/citations?hl=en&user=rHp1m-oAAAAJ,"Professor of Dance, Centre for Dance Research, Coventry University",dance research documentation digitisation embodiment bodily practices ,839
146,Jonathan Daniel Nixon,https://scholar.google.co.uk/citations?hl=en&user=Ow5b4xUAAAAJ,Associate Head of School (Research) at Coventry University,Renewable Energy ,833
147,Siraj Ahmed Shaikh,https://scholar.google.co.uk/citations?hl=en&user=F3SxYB4AAAAJ,Coventry University,Network Security Formal Methods Open Source Software IT and Developing Countries ,830
148,Nigel Berkeley,https://scholar.google.co.uk/citations?hl=en&user=ethX1O4AAAAJ,Coventry University,,824
149,Heather J Sears,https://scholar.google.co.uk/citations?hl=en&user=kaqEMSgAAAAJ,Coventry University,,819
150,Alban Potherat,https://scholar.google.co.uk/citations?hl=en&user=llAhd0YAAAAJ,"Professor of Fluid Mechanics, Coventry University",Fluid mechanics fluid dynamics turbulence magnetohydrodynamics quasi-2D flows ,812
151,Paul Holtom,https://scholar.google.co.uk/citations?hl=en&user=nwkub9MAAAAJ,"Senior Research Fellow, Centre for Trust, Peace and Social Relations, oventry University",International arms trade and transfer controls SALW Russian foreign and security policy international peace and security ,806
152,Linda Martin,https://scholar.google.co.uk/citations?hl=en&user=BHMYsPMAAAAJ,Coventry University,,797
153,Cheng Zhang,https://scholar.google.co.uk/citations?hl=en&user=_v_KmR0AAAAJ,"Coventry University, Assistant Professor",Lithium ion battery management system electric vehicles system model and control ,782
154,William Payre,https://scholar.google.co.uk/citations?hl=en&user=Rfp6GasAAAAJ,Researcher at Coventry University,psychology ergonomics driving automation ,780
155,Donna Wong,https://scholar.google.co.uk/citations?hl=en&user=Tam_28wAAAAJ,Coventry University,Sport Broadcast Media Youth Olympic Games ,758
156,Patricia Lund,https://scholar.google.co.uk/citations?hl=en&user=7kvtqEYAAAAJ,"Principal lecturer, Coventry University",Human Genetics Disability research Albinism in Africa ,756
157,Beate Grawemeyer,https://scholar.google.co.uk/citations?hl=en&user=9iXacSkAAAAJ,"Lecturer in Computer Science, Coventry University",Artificial Intelligence Technology Enhanced Learning Human Computer Interaction Affective Computing ,744
158,Hayley Wright,https://scholar.google.co.uk/citations?hl=en&user=sXVD-XgAAAAJ,"Research Associate; Psychology, Behaviour and Achievement; Coventry University",Cognition cognitive decline ageing neuropsychology cognitive deficits in stroke and dementia ,741
